Id,X,Y,Z,dX,dY,dZ,Geological Model B
2891,884485,27917280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2892,885485,27917280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2893,886485,27917280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2894,887485,27917280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2895,888485,27917280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2896,889485,27917280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2897,890485,27917280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2898,891485,27917280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2899,892485,27917280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2900,893485,27917280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2901,894485,27917280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2902,895485,27917280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2903,896485,27917280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2904,897485,27917280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2905,898485,27917280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2906,899485,27917280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2907,900485,27917280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2908,901485,27917280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2909,902485,27917280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2912,873485,27918280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2913,874485,27918280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2914,875485,27918280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2915,876485,27918280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2916,877485,27918280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2917,878485,27918280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2918,879485,27918280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2919,880485,27918280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2920,881485,27918280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
2921,882485,27918280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
2922,883485,27918280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2923,884485,27918280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2924,885485,27918280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2925,886485,27918280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2926,887485,27918280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2927,888485,27918280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2928,889485,27918280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2929,890485,27918280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2930,891485,27918280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2931,892485,27918280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2932,893485,27918280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2933,894485,27918280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2934,895485,27918280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2935,896485,27918280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2936,897485,27918280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2937,898485,27918280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2938,899485,27918280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2939,900485,27918280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2940,901485,27918280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2941,902485,27918280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2944,873485,27919280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2945,874485,27919280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2946,875485,27919280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2947,876485,27919280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2948,877485,27919280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2949,878485,27919280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2950,879485,27919280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2951,880485,27919280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2952,881485,27919280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
2953,882485,27919280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
2954,883485,27919280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2955,884485,27919280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2956,885485,27919280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2957,886485,27919280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2958,887485,27919280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2959,888485,27919280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2960,889485,27919280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2961,890485,27919280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2962,891485,27919280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2963,892485,27919280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2964,893485,27919280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2965,894485,27919280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
2966,895485,27919280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2967,896485,27919280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2968,897485,27919280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2969,898485,27919280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2970,899485,27919280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2971,900485,27919280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2972,901485,27919280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2973,902485,27919280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
2976,873485,27920280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2977,874485,27920280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2978,875485,27920280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2979,876485,27920280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2980,877485,27920280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2981,878485,27920280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2982,879485,27920280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2983,880485,27920280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
2984,881485,27920280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
2985,882485,27920280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
2986,883485,27920280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2987,884485,27920280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2988,885485,27920280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2989,886485,27920280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2990,887485,27920280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2991,888485,27920280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2992,889485,27920280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2993,890485,27920280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
2994,891485,27920280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
