1_x,
Time,Acceleration
TIME,ACCEL
1.945,3.771147258
1.95,3.692792124
1.955,3.583055711
1.96,3.454588596
1.965,3.3146477
1.97,3.155093505
1.975,3.000932967
1.98,2.833729584
1.985,2.684374305
1.99,2.52060325
1.995,2.378406825
2,2.221010092
2.005,2.085972522
2.01,1.93779404
2.015,1.80246227
2.02,1.655754786
2.025,1.515225492
2.03,1.365674079
2.035,1.21406327
2.04,1.054116809
2.045,0.880882336
2.05,0.699979064
2.055,0.487243405
2.06,0.273713408
2.065,0.036804357
2.07,-0.203703734
2.075,-0.472602077
2.08,-0.740176522
2.085,-1.037053238
2.09,-1.327232011
2.095,-1.636533752
2.1,-1.934557846
2.105,-2.241505991
2.11,-2.534920959
2.115,-2.82627653
2.12,-3.094096142
2.125,-3.344165717
2.13,-3.559225551
2.135,-3.734176187
2.14,-3.857838044
2.145,-3.933447315
2.15,-3.968653189
2.155,-3.95796394
2.16,-3.913637882
2.165,-3.814002318
2.17,-3.674845955
2.175,-3.48361628
2.18,-3.26590865
2.185,-3.007601489
2.19,-2.735466951
2.195,-2.429499471
2.2,-2.121668728
2.205,-1.792851753
2.21,-1.460602451
2.215,-1.105797854
2.22,-0.75320956
2.225,-0.387882427
2.23,-0.031171418
2.235,0.334122372
2.24,0.68251342
2.245,1.02969825
2.25,1.354592565
2.255,1.6671305
2.26,1.944560629
2.265,2.209536312
2.27,2.429695604
2.275,2.640440513
2.28,2.823922934
2.285,2.991224383
2.29,3.132342077
2.295,3.248747012
2.3,3.341812121
2.305,3.397808092
2.31,3.433896564
2.315,3.417127193
2.32,3.385353647
2.325,3.286306482
2.33,3.190985844
2.335,3.005149826
2.34,2.814998883
2.345,2.515503792
2.35,2.21855843
2.355,1.800206741
2.36,1.390975236
2.365,0.856963917
2.37,0.338702078
2.375,-0.290943692
2.38,-0.886884006
2.385,-1.576713187
2.39,-2.239642727
2.395,-2.968276822
2.4,-3.665627704
2.405,-4.38582808
2.41,-5.07229358
2.415,-5.731496593
2.42,-6.355591799
2.425,-6.912217253
2.43,-7.445993212
2.435,-7.852184655
2.44,-8.229349395
2.445,-8.441368187
2.45,-8.631716244
2.455,-8.637010855
2.46,-8.621614414
2.465,-8.414694099
2.47,-8.195024158
2.475,-7.797855814
2.48,-7.395096699
