2_y,
Time,Acceleration
TIME,ACCEL
2.275,1.313993034
2.28,0.915646911
2.285,0.462089348
2.29,0.002438816
2.295,-0.515810177
2.3,-1.031169248
2.305,-1.570829197
2.31,-2.111862078
2.315,-2.645049638
2.32,-3.179904329
2.325,-3.666902568
2.33,-4.185380154
2.335,-4.608929367
2.34,-5.005118027
2.345,-5.27990036
2.35,-5.532127398
2.355,-5.643236743
2.36,-5.741989708
2.365,-5.707568367
2.37,-5.667557235
2.375,-5.50378618
2.38,-5.351194706
2.385,-5.116423505
2.39,-4.884202033
2.395,-4.539694418
2.4,-4.174788972
2.405,-3.741531175
2.41,-3.303468119
2.415,-2.824707466
2.42,-2.3538902
2.425,-1.870618488
2.43,-1.356357762
2.435,-0.853129517
2.44,-0.311125778
2.445,0.175588068
2.45,0.690976559
2.455,1.143847656
2.46,1.611232595
2.465,2.009382585
2.47,2.411945568
2.475,2.730367493
2.48,3.056928938
2.485,3.288365878
2.49,3.530099801
2.495,3.668765832
2.5,3.815963648
2.505,3.849796591
2.51,3.655036522
2.515,3.450960135
2.52,3.222661323
2.525,3.0008349
2.53,2.774203219
2.535,2.455683227
2.54,2.138634232
2.545,1.764020202
2.55,1.376265261
2.555,0.960610401
2.56,0.542278227
2.565,0.16680131
2.57,-0.204370586
2.575,-0.526018801
2.58,-0.857826902
2.585,-1.110014714
2.59,-1.375088463
2.595,-1.53209293
2.6,-1.690176128
2.605,-1.724695536
2.61,-1.761862739
2.615,-1.667228567
2.62,-1.559845749
2.625,-1.322720952
2.63,-1.088243951
2.635,-0.755474896
2.64,-0.422548935
2.645,-0.021577572
2.65,0.396933965
2.655,0.848942077
2.66,1.272020572
2.665,1.669189897
2.67,2.054198976
2.675,2.391449669
2.68,2.71055806
2.685,2.966511625
2.69,3.229231779
2.695,3.415950395
2.7,3.612279528
2.705,3.724663737
2.71,3.859701307
2.715,3.918345074
2.72,3.984245762
2.725,3.971006785
2.73,3.965907327
2.735,3.896476245
2.74,3.833027219
2.745,3.71083636
2.75,3.588547435
2.755,3.417617525
2.76,3.232664106
2.765,3.009268619
2.77,2.774497418
2.775,2.522074247
2.78,2.262492222
2.785,1.990553817
2.79,1.710181694
2.795,1.440302686
2.8,1.160224762
2.805,0.908497863
2.81,0.646238622
2.815,0.426971734
2.82,0.19604474
2.825,-0.009418797
2.83,-0.222169656
2.835,-0.376585167
2.84,-0.540562161
2.845,-0.689230975
2.85,-0.83965518
2.855,-0.96693569
2.86,-1.099521598
2.865,-1.220535659
2.87,-1.342824585
2.875,-1.45952372
2.88,-1.574457658
2.885,-1.699296312
2.89,-1.822762036
2.895,-1.959957069
2.9,-2.092542977
2.905,-2.241407924
2.91,-2.387036677
2.915,-2.543452744
2.92,-2.696240351
2.925,-2.848929892
2.93,-2.998383238
2.935,-3.133715008
2.94,-3.266595115
2.945,-3.370741738
2.95,-3.473907696
2.955,-3.532943729
2.96,-3.589822299
2.965,-3.590802964
2.97,-3.588253235
2.975,-3.535689591
2.98,-3.473025098
2.985,-3.342890852
2.99,-3.206872617
2.995,-2.993087647
3,-2.771947689
3.005,-2.521289715
3.01,-2.26955301
3.015,-1.98878862
3.02,-1.699002113
3.025,-1.389504239
3.03,-1.084125158
3.035,-0.748492561
3.04,-0.409780677
3.045,-0.057862177
3.05,0.284098651
3.055,0.629282924
3.06,0.967072983
3.065,1.300067591
3.07,1.626432903
3.075,1.942108966
3.08,2.25190104
3.085,2.539530084
3.09,2.822550003
3.095,3.069677583
3.1,3.310823107
3.105,3.499797252
3.11,3.686908134
3.115,3.810569991
3.12,3.93668351
3.125,3.992091082
3.13,4.043674061
3.135,4.013469579
3.14,3.984343829
3.145,3.880099139
3.15,3.777619647
3.155,3.609729799
3.16,3.446154877
3.165,3.233840904
3.17,3.026234124
3.175,2.788520928
3.18,2.555711057
3.185,2.303484019
3.19,2.054395109
3.195,1.814132184
3.2,1.58112618
3.205,1.371067737
3.21,1.165912619
3.215,0.993021379
3.22,0.823111361
3.225,0.684817983
3.23,0.54320015
3.235,0.434160009
3.24,0.327895149
3.245,0.25494348
3.25,0.186336157
3.255,0.140637168
3.26,0.095891385
3.265,0.066256669
3.27,0.038436184
3.275,0.021493235
3.28,0.002369091
3.285,-0.026325952
3.29,-0.05143686
3.295,-0.085839569
3.3,-0.122906744
3.305,-0.171939994
3.31,-0.208263826
3.315,-0.268947376
3.32,-0.334985357
3.325,-0.425961649
3.33,-0.530765318
3.335,-0.65894804
3.34,-0.799663661
3.345,-0.964042728
3.35,-1.132570009
3.355,-1.294281667
3.36,-1.459719853
3.365,-1.604171807
3.37,-1.751565757
3.375,-1.862969301
3.38,-1.97731484
3.385,-2.045765257
3.39,-2.119609331
3.395,-2.13225991
3.4,-2.14010523
3.405,-2.082245995
3.41,-2.026936489
3.415,-1.910825753
3.42,-1.791282689
3.425,-1.614076524
3.43,-1.429025038
3.435,-1.203962421
3.44,-1.285749882
3.445,-1.047448287
3.45,-0.80795028
3.455,-0.56474536
3.46,-0.316529242
3.465,-0.076320254
3.47,0.171371209
3.475,0.38450894
3.48,0.60016698
3.485,0.760182088
3.49,0.923600104
3.495,1.020479999
3.5,1.115506438
3.505,1.134335206
3.51,1.155909836
3.515,1.102855859
3.52,1.056764604
3.525,0.946979157
3.53,0.838654901
